TIME PERIOD,PRODUCT,TOTAL DOLS (000),NETWORK TV DOLS (000),CABLE TV DOLS (000),SYNDICATION DOLS (000),SPOT TV DOLS (000),MAGAZINES DOLS (000),NATL NEWSP DOLS (000),NEWSPAPER DOLS (000),NETWORK RADIO DOLS (000),NAT SPOT RADIO DOLS (000),OUTDOOR DOLS (000)
"WEEK OF MAY 05, 2014 (B)",Home Depot Home Center : Vignette,40.7,0,40.7,0,0,0,0,0,0,0,0
"WEEK OF MAY 05, 2014 (B)",Home Depot Inc : Recruitment,0.8,0,0,0,0,0,0,0.8,0,0,0
"WEEK OF MAY 12, 2014 (B)",Home Depot Home Center & Kidde : Combo Vignette,0.2,0,0,0,0.2,0,0,0,0,0,0
"WEEK OF MAY 12, 2014 (B)",Home Depot Home Center : Home Center/Hardware Store,7314.5,1867.1,2544.6,154.4,92.9,0,0,538.5,1533.7,583.2,0
"WEEK OF MAY 12, 2014 (B)",Home Depot Home Center : Vignette,42.1,0,42.1,0,0,0,0,0,0,0,0
"WEEK OF MAY 12, 2014 (B)",Home Depot Inc : Recruitment,0.8,0,0,0,0,0,0,0.8,0,0,0
"WEEK OF MAY 19, 2014 (B)",Home Depot Home Center & Kidde : Combo Vignette,0.6,0,0,0,0.6,0,0,0,0,0,0
"WEEK OF MAY 19, 2014 (B)",Home Depot Home Center : Home & Building Products DR,7.8,0,0,0,0,0,0,7.8,0,0,0
"WEEK OF MAY 19, 2014 (B)",Home Depot Home Center : Home Center/Hardware Store,7753.4,2037.1,2523.6,105.9,71.3,0,0,898.6,1533.7,583.2,0
"WEEK OF MAY 19, 2014 (B)",Home Depot Home Center : Lawn & Garden Products DR,17.7,0,0,0,0,0,0,17.7,0,0,0
"WEEK OF MAY 19, 2014 (B)",Home Depot Home Center : Vignette,38.9,0,38.9,0,0,0,0,0,0,0,0
"WEEK OF MAY 26, 2014 (B)",Home Depot Home Center & Kidde : Combo Vignette,1,0,0,0,1,0,0,0,0,0,0
"WEEK OF MAY 26, 2014 (B)",Home Depot Home Center : Home & Building Products DR,0,0,0,0,0,0,0,0,0,0,0
"WEEK OF MAY 26, 2014 (B)",Home Depot Home Center : Home Center/Hardware Store,12679.8,2912.9,2924.2,85,92.5,4440.9,0,32.9,1669.7,518.1,3.4
"WEEK OF MAY 26, 2014 (B)",Home Depot Home Center : Vignette,14.8,0,14.8,0,0,0,0,0,0,0,0
"WEEK OF JUN 02, 2014 (B)",Home Depot Center Stadium,7.1,0,0,0,0,0,0,7.1,0,0,0
